race_cat,year_cat,n_obs,total_students,total_sdays_wf25,avg_sdays_per_student
Hispanic,'06-'07,47704,2943538,492742,0.16739787289989122
Hispanic,'07-'08,48975,2985421,6867867,2.3004685101364264
Hispanic,'08-'09,50077,3018530,106689,0.03534468764597337
Hispanic,'09-'10,51709,3081502,145504,0.04721853174198816
Hispanic,'10-'11,52550,3153462,30586,0.009699181407608526
Hispanic,'11-'12,52926,3213420,12558,0.003907985884198144
Hispanic,'12-'13,53369,3258891,135874,0.04169332450824529
Hispanic,'13-'14,53725,3306888,563836,0.1705035066201214
Hispanic,'14-'15,54036,3331173,83090,0.02494316566566792
Hispanic,'15-'16,54309,3341888,456427,0.1365775872800046
Hispanic,'16-'17,54630,3355544,290919,0.0866980137944846
Hispanic,'17-'18,54415,3337477,4756571,1.4251996343345588
Hispanic,'18-'19,54031,3274232,6162422,1.882096931433081
Hispanic,'19-'20,54014,3265438,266954,0.08175136076691703
Hispanic,'20-'21,53662,3182868,15763582,4.952634542180197
"NH American Indian
or Alaska Native",'06-'07,20125,49413,39389,0.7971384048732115
"NH American Indian
or Alaska Native",'07-'08,20124,49332,90613,1.836799643233601
"NH American Indian
or Alaska Native",'08-'09,20279,49238,5428,0.11024005849140907
"NH American Indian
or Alaska Native",'09-'10,19987,47232,4992,0.10569105691056911
"NH American Indian
or Alaska Native",'10-'11,19836,46246,827,0.01788262768671885
"NH American Indian
or Alaska Native",'11-'12,19585,45230,468,0.010347114746849436
"NH American Indian
or Alaska Native",'12-'13,19123,43268,31419,0.7261486548950725
"NH American Indian
or Alaska Native",'13-'14,18853,41219,20631,0.5005216041146073
"NH American Indian
or Alaska Native",'14-'15,18164,39042,19432,0.49772040366784487
"NH American Indian
or Alaska Native",'15-'16,17457,37048,33554,0.9056899157849276
"NH American Indian
or Alaska Native",'16-'17,16842,35502,10495,0.29561714832967156
"NH American Indian
or Alaska Native",'17-'18,16577,34293,112050,3.2674306709824164
"NH American Indian
or Alaska Native",'18-'19,16034,32531,133478,4.103101656881129
"NH American Indian
or Alaska Native",'19-'20,15620,31628,4391,0.13883267990388262
"NH American Indian
or Alaska Native",'20-'21,14573,29252,275881,9.431184192533843
NH Asian,'06-'07,37146,645570,101891,0.15783106402094274
NH Asian,'07-'08,37721,655458,1378535,2.1031629791687645
NH Asian,'08-'09,37328,634784,13077,0.020600708272420224
NH Asian,'09-'10,37189,625908,19869,0.03174428190724515
NH Asian,'10-'11,37451,626286,2559,0.004085992661499698
NH Asian,'11-'12,37582,638569,875,0.0013702512962577263
NH Asian,'12-'13,37592,636968,25403,0.03988112432649678
