race_cat,year_cat,n_obs,total_students,total_sdays_wf25
Hispanic,'06-'07,47704,2943538,2477838
Hispanic,'07-'08,48975,2985421,12432378
Hispanic,'08-'09,50077,3018530,937867
Hispanic,'09-'10,51709,3081502,2582854
Hispanic,'10-'11,52550,3153462,581651
Hispanic,'11-'12,52926,3213420,956592
Hispanic,'12-'13,53369,3258891,1390015
Hispanic,'13-'14,53725,3306888,3005566
Hispanic,'14-'15,54036,3331173,793497
Hispanic,'15-'16,54309,3341888,1984869
Hispanic,'16-'17,54630,3355544,4262603
Hispanic,'17-'18,54415,3337477,14008472
Hispanic,'18-'19,54031,3274232,11057831
Hispanic,'19-'20,54014,3265438,2192607
Hispanic,'20-'21,53662,3182868,37362690
"NH American Indian
or Alaska Native",'06-'07,20125,49413,108350
"NH American Indian
or Alaska Native",'07-'08,20124,49332,174504
"NH American Indian
or Alaska Native",'08-'09,20279,49238,37420
"NH American Indian
or Alaska Native",'09-'10,19987,47232,39309
"NH American Indian
or Alaska Native",'10-'11,19836,46246,17314
"NH American Indian
or Alaska Native",'11-'12,19585,45230,22309
"NH American Indian
or Alaska Native",'12-'13,19123,43268,80303
"NH American Indian
or Alaska Native",'13-'14,18853,41219,63979
"NH American Indian
or Alaska Native",'14-'15,18164,39042,54323
"NH American Indian
or Alaska Native",'15-'16,17457,37048,71454
"NH American Indian
or Alaska Native",'16-'17,16842,35502,79673
"NH American Indian
or Alaska Native",'17-'18,16577,34293,260021
"NH American Indian
or Alaska Native",'18-'19,16034,32531,220533
"NH American Indian
or Alaska Native",'19-'20,15620,31628,32704
"NH American Indian
or Alaska Native",'20-'21,14573,29252,486313
NH Asian,'06-'07,37146,645570,634352
NH Asian,'07-'08,37721,655458,2608460
NH Asian,'08-'09,37328,634784,260693
NH Asian,'09-'10,37189,625908,382848
NH Asian,'10-'11,37451,626286,120909
NH Asian,'11-'12,37582,638569,158486
NH Asian,'12-'13,37592,636968,347378
NH Asian,'13-'14,37625,636162,468546
NH Asian,'14-'15,37835,646611,190402
NH Asian,'15-'16,37813,649650,235723
NH Asian,'16-'17,37936,651852,749436
NH Asian,'17-'18,37792,658344,4193954
NH Asian,'18-'19,37657,655205,3186208
NH Asian,'19-'20,37415,651095,700026
NH Asian,'20-'21,37099,632786,8776247
NH Black,'06-'07,36788,452861,460075
NH Black,'07-'08,37388,444781,1746729
NH Black,'08-'09,38133,441650,83647
NH Black,'09-'10,37915,413913,349273
NH Black,'10-'11,38168,403977,90549
NH Black,'11-'12,37972,396617,82857
NH Black,'12-'13,38087,388244,234514
NH Black,'13-'14,38079,379152,333618
NH Black,'14-'15,37842,367777,75339
NH Black,'15-'16,37643,355916,148273
NH Black,'16-'17,37551,344441,349147
NH Black,'17-'18,37055,331282,1667990
NH Black,'18-'19,36694,316143,1234358
NH Black,'19-'20,36349,305824,277397
NH Black,'20-'21,35596,288967,3484682
NH White,'06-'07,42513,1655766,2347200
NH White,'07-'08,43412,1609151,6082345
NH White,'08-'09,44120,1585341,582702
NH White,'09-'10,48253,1647845,1185061
NH White,'10-'11,48432,1628942,489103
NH White,'11-'12,48720,1601270,488049
NH White,'12-'13,49142,1572896,1424781
NH White,'13-'14,49323,1544144,1773749
NH White,'14-'15,49840,1515816,926624
NH White,'15-'16,50109,1483413,1262203
NH White,'16-'17,50305,1450104,2237443
NH White,'17-'18,49799,1409507,8038691
NH White,'18-'19,49506,1361359,6596229
NH White,'19-'20,49271,1321454,1285329
NH White,'20-'21,48699,1228162,16879660
All,'06-'07,50829,6098880,6453679
All,'07-'08,52141,5927437,23748304
All,'08-'09,53401,6152493,2044960
All,'09-'10,55208,6109788,4710855
All,'10-'11,55555,6121515,1359985
All,'11-'12,55554,6157905,1773613
All,'12-'13,55858,6174836,3669162
All,'13-'14,56126,6195135,5902876
All,'14-'15,56150,6196165,2162694
All,'15-'16,56294,6177608,3860786
All,'16-'17,56532,6170547,8111502
All,'17-'18,56157,6130257,30286203
All,'18-'19,55666,5983074,24048354
All,'19-'20,55583,5937548,4868182
All,'20-'21,55023,5718229,71779244
