school_name,nces_id,year_cat,school_type,school_level,lat,lon,county_name,fipschar,n_obs,total_students,total_sdays_wf25
100 BLACK MEN OF THE BAY AREA COMMUNITY,062805013190,'13-'14,1-Regular school,4-Other,37.7454,-122.1407,Alameda,06001,17,204,0
138TH STREET,060142807146,'20-'21,1-Regular school,NA,33.906946,-118.375218,Los Angeles,06037,16,832,3328
21ST CENTURY LEARNING INSTITUTE,060429013779,'20-'21,4-Alternative/other school,NA,33.934277,-116.969275,Riverside,06065,59,564,3384
A. E. ARNOLD ELEMENTARY,061044001166,'06-'07,1-Regular school,1-Primary,33.82725,-118.0546,Orange,06059,36,1136,0
A. E. ARNOLD ELEMENTARY,061044001166,'13-'14,1-Regular school,1-Primary,33.8161,-118.0232,Orange,06059,35,1348,2696
A. E. ARNOLD ELEMENTARY,061044001166,'20-'21,1-Regular school,NA,33.827228,-118.055572,Orange,06059,37,1148,4592
A. G. COOK ELEMENTARY,061488001834,'06-'07,1-Regular school,1-Primary,33.76339,-117.9581,Orange,06059,29,782,0
A. G. COOK ELEMENTARY,061488001834,'13-'14,1-Regular school,1-Primary,33.7633,-117.9583,Orange,06059,27,771,0
A. G. COOK ELEMENTARY,061488001834,'20-'21,1-Regular school,NA,33.7633,-117.9583,Orange,06059,26,730,4380
A. J. DORSA ELEMENTARY,060231000103,'06-'07,1-Regular school,1-Primary,37.33938,-121.838,Santa Clara,06085,25,1169,1169
A. J. DORSA ELEMENTARY,060231000103,'13-'14,1-Regular school,1-Primary,37.3401,-121.8374,Santa Clara,06085,20,1009,0
A. J. DORSA ELEMENTARY,060231000103,'20-'21,1-Regular school,NA,37.3401,-121.8374,Santa Clara,06085,22,719,13661
A. L. CONNER ELEMENTARY,061970010780,'06-'07,1-Regular school,1-Primary,36.6298,-119.3095,Fresno,06019,21,750,1500
A. L. CONNER ELEMENTARY,061970010780,'13-'14,1-Regular school,1-Primary,36.6297,-119.3087,Fresno,06019,19,836,2508
A. L. CONNER ELEMENTARY,061970010780,'20-'21,1-Regular school,NA,36.6297,-119.3087,Fresno,06019,16,652,26080
A. M. THOMAS MIDDLE,062295007772,'06-'07,1-Regular school,2-Middle,35.61544,-119.6994,Kern,06029,7,359,0
A. M. THOMAS MIDDLE,062295007772,'13-'14,1-Regular school,2-Middle,35.6147,-119.6992,Kern,06029,7,303,0
A. M. THOMAS MIDDLE,062295007772,'20-'21,1-Regular school,NA,35.614936,-119.699385,Kern,06029,7,226,5876
A. M. WINN WALDORF-INSPIRED,063384005217,'06-'07,1-Regular school,1-Primary,38.56694,-121.3246,Sacramento,06067,36,931,3724
A. M. WINN WALDORF-INSPIRED,063384005217,'13-'14,1-Regular school,1-Primary,38.5664,-121.3237,Sacramento,06067,44,724,724
A. M. WINN WALDORF-INSPIRED,063384005217,'20-'21,1-Regular school,NA,38.566,-121.3237,Sacramento,06067,51,719,13661
ABBOTT MIDDLE,063492005896,'06-'07,1-Regular school,2-Middle,37.52969,-122.3089,San Mateo,06081,16,1366,0
ABBOTT MIDDLE,063492005896,'13-'14,1-Regular school,2-Middle,37.5302,-122.3093,San Mateo,06081,14,1468,1468
ABBOTT MIDDLE,063492005896,'20-'21,1-Regular school,NA,37.5305,-122.31,San Mateo,06081,16,1432,15752
